METADATA|Position|SourceSystemOwner|SourceSystemId|EffectiveStartDate|PositionCode|BusinessUnitName|Name|ActiveStatus|DepartmentId|JobId|LocationId|FullPartTime|RegularTemporary|HiringStatus|PositionType|FTE|HeadCount|WorkingHours|Frequency
MERGE|Position|ALTAHRN01|131286|1951/01/01|131286|UOB Business Unit|HR Statistician |A|300000001922212|300000009529171|300000001260727|FULL_TIME|R|APPROVED|SINGLE|1|1|40|W
MERGE|Position|ALTAHRN01|131288|1951/01/01|131288|UOB Business Unit|Health and Safety Specialist|A|300000001922212|300000009529177|300000001260727|FULL_TIME|R|APPROVED|SINGLE|1|1|40|W
MERGE|Position|ALTAHRN01|131289|1951/01/01|131289|UOB Business Unit|Health and Safety Specialist|A|300000001922212|300000009529177|300000001260727|FULL_TIME|R|APPROVED|SINGLE|1|1|40|W
MERGE|Position|ALTAHRN01|131290|1951/01/01|131290|UOB Business Unit|Health and Safety Specialist|A|300000001922212|300000009529177|300000001260727|FULL_TIME|R|APPROVED|SINGLE|1|1|40|W
MERGE|Position|ALTAHRN01|131291|1951/01/01|131291|UOB Business Unit|Health and Safety Specialist|A|300000001922212|300000009529177|300000001260727|FULL_TIME|R|APPROVED|SINGLE|1|1|40|W
MERGE|Position|ALTAHRN01|131292|1951/01/01|131292|UOB Business Unit|Health and Safety Specialist|A|300000001922212|300000009529177|300000001260727|FULL_TIME|R|APPROVED|SINGLE|1|1|40|W
MERGE|Position|ALTAHRN01|131293|1951/01/01|131293|UOB Business Unit|Health and Safety Specialist|A|300000001922212|300000009529177|300000001260727|FULL_TIME|R|APPROVED|SINGLE|1|1|40|W
MERGE|Position|ALTAHRN01|131294|1951/01/01|131294|UOB Business Unit|Health and Safety Specialist|A|300000001922212|300000009529177|300000001260727|FULL_TIME|R|APPROVED|SINGLE|1|1|40|W
MERGE|Position|ALTAHRN01|131295|1951/01/01|131295|UOB Business Unit|Health and Safety Specialist|A|300000001922212|300000009529177|300000001260727|FULL_TIME|R|APPROVED|SINGLE|1|1|40|W
MERGE|Position|ALTAHRN01|131296|1951/01/01|131296|UOB Business Unit|Health and Safety Specialist|A|300000001922212|300000009529177|300000001260727|FULL_TIME|R|APPROVED|SINGLE|1|1|40|W
MERGE|Position|ALTAHRN01|131297|1951/01/01|131297|UOB Business Unit|Health and Safety Specialist|A|300000001922212|300000009529177|300000001260727|FULL_TIME|R|APPROVED|SINGLE|1|1|40|W
MERGE|Position|ALTAHRN01|131298|1951/01/01|131298|UOB Business Unit|Health and Safety Specialist|A|300000001922212|300000009529177|300000001260727|FULL_TIME|R|APPROVED|SINGLE|1|1|40|W
MERGE|Position|ALTAHRN01|131299|1951/01/01|131299|UOB Business Unit|Health and Safety Specialist|A|300000001922212|300000009529177|300000001260727|FULL_TIME|R|APPROVED|SINGLE|1|1|40|W
MERGE|Position|ALTAHRN01|131300|1951/01/01|131300|UOB Business Unit|Health and Safety Specialist|A|300000001922212|300000009529177|300000001260727|FULL_TIME|R|APPROVED|SINGLE|1|1|40|W
MERGE|Position|ALTAHRN01|131301|1951/01/01|131301|UOB Business Unit|Health and Safety Specialist|A|300000001922212|300000009529177|300000001260727|FULL_TIME|R|APPROVED|SINGLE|1|1|40|W
MERGE|Position|ALTAHRN01|131302|1951/01/01|131302|UOB Business Unit|Health and Safety Specialist|A|300000001922212|300000009529177|300000001260727|FULL_TIME|R|APPROVED|SINGLE|1|1|40|W
MERGE|Position|ALTAHRN01|131303|1951/01/01|131303|UOB Business Unit|Health and Safety Specialist|A|300000001922212|300000009529177|300000001260727|FULL_TIME|R|APPROVED|SINGLE|1|1|40|W
MERGE|Position|ALTAHRN01|131304|1951/01/01|131304|UOB Business Unit|Health and Safety Specialist|A|300000001922212|300000009529177|300000001260727|FULL_TIME|R|APPROVED|SINGLE|1|1|40|W
MERGE|Position|ALTAHRN01|131305|1951/01/01|131305|UOB Business Unit|Health and Safety Specialist|A|300000001922212|300000009529177|300000001260727|FULL_TIME|R|APPROVED|SINGLE|1|1|40|W
MERGE|Position|ALTAHRN01|131323|1951/01/01|131323|UOB Business Unit|Occupational Health Manager|A|300000001922212|300000009529189|300000001260727|FULL_TIME|R|APPROVED|SINGLE|1|1|40|W
MERGE|Position|ALTAHRN01|131324|1951/01/01|131324|UOB Business Unit|Occupational Health Nurse|A|300000001922212|300000009529189|300000001260727|FULL_TIME|R|APPROVED|SINGLE|1|1|40|W
MERGE|Position|ALTAHRN01|131325|1951/01/01|131325|UOB Business Unit|Occupational Health Nurse|A|300000001922212|300000009529189|300000001260727|FULL_TIME|R|APPROVED|SINGLE|1|1|40|W
MERGE|Position|ALTAHRN01|131326|1951/01/01|131326|UOB Business Unit|Occupational Health Nurse|A|300000001922212|300000009529189|300000001260727|FULL_TIME|R|APPROVED|SINGLE|1|1|40|W
MERGE|Position|ALTAHRN01|131327|1951/01/01|131327|UOB Business Unit|Occupational Health Nurse|A|300000001922212|300000009529189|300000001260727|FULL_TIME|R|APPROVED|SINGLE|1|1|40|W
MERGE|Position|ALTAHRN01|131328|1951/01/01|131328|UOB Business Unit|Occupational Health Nurse|A|300000001922212|300000009529189|300000001260727|FULL_TIME|R|APPROVED|SINGLE|1|1|40|W
MERGE|Position|ALTAHRN01|131329|1951/01/01|131329|UOB Business Unit|Occupational Health Nurse|A|300000001922212|300000009529189|300000001260727|FULL_TIME|R|APPROVED|SINGLE|1|1|40|W
MERGE|Position|ALTAHRN01|131330|1951/01/01|131330|UOB Business Unit|Occupational Health Nurse|A|300000001922212|300000009529189|300000001260727|FULL_TIME|R|APPROVED|SINGLE|1|1|40|W
MERGE|Position|ALTAHRN01|131331|1951/01/01|131331|UOB Business Unit|Occupational Health Nurse|A|300000001922212|300000009529189|300000001260727|FULL_TIME|R|APPROVED|SINGLE|1|1|40|W
MERGE|Position|ALTAHRN01|131332|1951/01/01|131332|UOB Business Unit|Occupational Health Nurse|A|300000001922212|300000009529189|300000001260727|FULL_TIME|R|APPROVED|SINGLE|1|1|40|W
MERGE|Position|ALTAHRN01|131333|1951/01/01|131333|UOB Business Unit|Occupational Health Nurse|A|300000001922212|300000009529189|300000001260727|FULL_TIME|R|APPROVED|SINGLE|1|1|40|W
MERGE|Position|ALTAHRN01|131345|1951/01/01|131345|UOB Business Unit|Recruitment Manager|A|300000001922212|300000009529192|300000001260727|FULL_TIME|R|APPROVED|SINGLE|1|1|40|W
MERGE|Position|ALTAHRN01|131346|1951/01/01|131346|UOB Business Unit|Recruitment Team Leader|A|300000001922212|300000009529192|300000001260727|FULL_TIME|R|APPROVED|SINGLE|1|1|40|W
MERGE|Position|ALTAHRN01|131347|1951/01/01|131347|UOB Business Unit|Recruitment Advisor|A|300000001922212|300000009529195|300000001260727|FULL_TIME|R|APPROVED|SINGLE|1|1|40|W
MERGE|Position|ALTAHRN01|131348|1951/01/01|131348|UOB Business Unit|Recruitment Advisor|A|300000001922212|300000009529195|300000001260727|FULL_TIME|R|APPROVED|SINGLE|1|1|40|W
MERGE|Position|ALTAHRN01|131349|1951/01/01|131349|UOB Business Unit|Recruitment Advisor|A|300000001922212|300000009529195|300000001260727|FULL_TIME|R|APPROVED|SINGLE|1|1|40|W
MERGE|Position|ALTAHRN01|131350|1951/01/01|131350|UOB Business Unit|Recruitment Advisor|A|300000001922212|300000009529195|300000001260727|FULL_TIME|R|APPROVED|SINGLE|1|1|40|W
MERGE|Position|ALTAHRN01|131351|1951/01/01|131351|UOB Business Unit|Recruitment Advisor|A|300000001922212|300000009529195|300000001260727|FULL_TIME|R|APPROVED|SINGLE|1|1|40|W
MERGE|Position|ALTAHRN01|131352|1951/01/01|131352|UOB Business Unit|Recruitment Advisor|A|300000001922212|300000009529195|300000001260727|FULL_TIME|R|APPROVED|SINGLE|1|1|40|W
MERGE|Position|ALTAHRN01|131353|1951/01/01|131353|UOB Business Unit|Recruitment Advisor|A|300000001922212|300000009529195|300000001260727|FULL_TIME|R|APPROVED|SINGLE|1|1|40|W
MERGE|Position|ALTAHRN01|131354|1951/01/01|131354|UOB Business Unit|Recruitment Advisor|A|300000001922212|300000009529195|300000001260727|FULL_TIME|R|APPROVED|SINGLE|1|1|40|W
MERGE|Position|ALTAHRN01|131355|1951/01/01|131355|UOB Business Unit|Recruitment Advisor|A|300000001922212|300000009529195|300000001260727|FULL_TIME|R|APPROVED|SINGLE|1|1|40|W
MERGE|Position|ALTAHRN01|131356|1951/01/01|131356|UOB Business Unit|Recruitment Advisor|A|300000001922212|300000009529195|300000001260727|FULL_TIME|R|APPROVED|SINGLE|1|1|40|W
MERGE|Position|ALTAHRN01|131357|1951/01/01|131357|UOB Business Unit|Recruitment Advisor|A|300000001922212|300000009529195|300000001260727|FULL_TIME|R|APPROVED|SINGLE|1|1|40|W
MERGE|Position|ALTAHRN01|131358|1951/01/01|131358|UOB Business Unit|Recruitment Advisor|A|300000001922212|300000009529195|300000001260727|FULL_TIME|R|APPROVED|SINGLE|1|1|40|W
MERGE|Position|ALTAHRN01|131359|1951/01/01|131359|UOB Business Unit|Recruitment Advisor|A|300000001922212|300000009529195|300000001260727|FULL_TIME|R|APPROVED|SINGLE|1|1|40|W
MERGE|Position|ALTAHRN01|131360|1951/01/01|131360|UOB Business Unit|Recruitment Advisor|A|300000001922212|300000009529195|300000001260727|FULL_TIME|R|APPROVED|SINGLE|1|1|40|W
MERGE|Position|ALTAHRN01|131361|1951/01/01|131361|UOB Business Unit|Recruitment Advisor|A|300000001922212|300000009529195|300000001260727|FULL_TIME|R|APPROVED|SINGLE|1|1|40|W
MERGE|Position|ALTAHRN01|131362|1951/01/01|131362|UOB Business Unit|Recruitment Advisor|A|300000001922212|300000009529195|300000001260727|FULL_TIME|R|APPROVED|SINGLE|1|1|40|W
MERGE|Position|ALTAHRN01|131363|1951/01/01|131363|UOB Business Unit|Recruitment Advisor|A|300000001922212|300000009529195|300000001260727|FULL_TIME|R|APPROVED|SINGLE|1|1|40|W
MERGE|Position|ALTAHRN01|131364|1951/01/01|131364|UOB Business Unit|Recruitment Advisor|A|300000001922212|300000009529195|300000001260727|FULL_TIME|R|APPROVED|SINGLE|1|1|40|W
MERGE|Position|ALTAHRN01|131413|1951/01/01|131413|UOB Business Unit|Reward and Remuneration Consultant|A|300000001922212|300000009529201|300000001260727|FULL_TIME|R|APPROVED|SINGLE|1|1|40|W
MERGE|Position|ALTAHRN01|131420|1951/01/01|131420|UOB Business Unit|PTAC Manager|A|300000001922212|300000009529207|300000001260727|FULL_TIME|R|APPROVED|SINGLE|1|1|40|W
MERGE|Position|ALTAHRN01|131421|1951/01/01|131421|UOB Business Unit|PTAC Advisor|A|300000001922212|300000009529210|300000001260727|FULL_TIME|R|APPROVED|SINGLE|1|1|40|W
MERGE|Position|ALTAHRN01|131422|1951/01/01|131422|UOB Business Unit|PTAC Advisor|A|300000001922212|300000009529210|300000001260727|FULL_TIME|R|APPROVED|SINGLE|1|1|40|W
MERGE|Position|ALTAHRN01|131423|1951/01/01|131423|UOB Business Unit|PTAC Advisor|A|300000001922212|300000009529210|300000001260727|FULL_TIME|R|APPROVED|SINGLE|1|1|40|W
