METADATA|Worker|SourceSystemOwner|SourceSystemId|EffectiveStartDate|EffectiveEndDate|PersonNumber|StartDate|DateOfBirth|ActionCode
MERGE|Worker|ALTAHRN01|5502973|1998/07/01|4712/12/31|5502973|1998/07/01|1957/01/22|HIRE
MERGE|Worker|ALTAHRN01|5502986|1990/04/23|4712/12/31|5502986|1990/04/23|1976/03/10|HIRE
MERGE|Worker|ALTAHRN01|5503003|1977/01/01|4712/12/31|5503003|1977/01/01|1948/11/18|HIRE
MERGE|Worker|ALTAHRN01|5503015|2000/10/01|4712/12/31|5503015|2000/10/01|1962/04/17|HIRE
MERGE|Worker|ALTAHRN01|5503042|2003/07/01|4712/12/31|5503042|2003/07/01|1958/07/22|HIRE
MERGE|Worker|ALTAHRN01|5503056|1999/12/31|4712/12/31|5503056|1999/12/31|1957/01/11|HIRE
MERGE|Worker|ALTAHRN01|5503059|1974/11/11|4712/12/31|5503059|1974/11/11|1957/01/22|HIRE
MERGE|Worker|ALTAHRN01|5503066|1984/03/01|4712/12/31|5503066|1984/03/01|1951/09/20|HIRE
MERGE|Worker|ALTAHRN01|5500678|1988/02/08|4712/12/31|5500678|1988/02/08|1960/11/26|HIRE
MERGE|Worker|ALTAHRN01|5500682|1993/09/01|4712/12/31|5500682|1993/09/01|1955/10/17|HIRE
MERGE|Worker|ALTAHRN01|5500684|1982/11/15|4712/12/31|5500684|1982/11/15|1969/01/13|HIRE
MERGE|Worker|ALTAHRN01|5500695|1998/03/09|4712/12/31|5500695|1998/03/09|1971/06/13|HIRE
MERGE|Worker|ALTAHRN01|5500720|1981/03/01|4712/12/31|5500720|1981/03/01|1969/05/31|HIRE
MERGE|Worker|ALTAHRN01|5500737|1997/09/15|4712/12/31|5500737|1997/09/15|1952/04/15|HIRE
MERGE|Worker|ALTAHRN01|5500796|1985/06/03|4712/12/31|5500796|1985/06/03|1956/07/05|HIRE
MERGE|Worker|ALTAHRN01|5500824|1996/09/09|4712/12/31|5500824|1996/09/09|1960/10/29|HIRE
MERGE|Worker|ALTAHRN01|5500827|1997/01/13|4712/12/31|5500827|1997/01/13|1956/07/05|HIRE
MERGE|Worker|ALTAHRN01|5500842|1995/11/13|4712/12/31|5500842|1995/11/13|1955/03/22|HIRE
MERGE|Worker|ALTAHRN01|5500860|1985/01/01|4712/12/31|5500860|1985/01/01|1971/08/20|HIRE
MERGE|Worker|ALTAHRN01|5500865|1979/06/25|4712/12/31|5500865|1979/06/25|1959/03/18|HIRE
MERGE|Worker|ALTAHRN01|5500878|2005/05/01|4712/12/31|5500878|2005/05/01|1969/10/13|HIRE
MERGE|Worker|ALTAHRN01|5500896|1999/12/31|4712/12/31|5500896|1999/12/31|1966/01/14|HIRE
MERGE|Worker|ALTAHRN01|5500901|1998/09/21|4712/12/31|5500901|1998/09/21|1977/07/01|HIRE
MERGE|Worker|ALTAHRN01|5500917|2014/10/01|4712/12/31|5500917|2014/10/01|1981/01/28|HIRE
MERGE|Worker|ALTAHRN01|5500925|1997/01/01|4712/12/31|5500925|1997/01/01|1962/08/27|HIRE
MERGE|Worker|ALTAHRN01|5500939|1999/12/31|4712/12/31|5500939|1999/12/31|1967/10/26|HIRE
MERGE|Worker|ALTAHRN01|5500992|2000/10/01|4712/12/31|5500992|2000/10/01|1957/05/12|HIRE
MERGE|Worker|ALTAHRN01|5501022|2000/07/31|4712/12/31|5501022|2000/07/31|1956/07/05|HIRE
MERGE|Worker|ALTAHRN01|5501082|1980/10/13|4712/12/31|5501082|1980/10/13|1958/12/14|HIRE
MERGE|Worker|ALTAHRN01|5501084|1984/01/01|4712/12/31|5501084|1984/01/01|1958/03/01|HIRE
MERGE|Worker|ALTAHRN01|5501109|1969/05/12|4712/12/31|5501109|1969/05/12|1963/10/17|HIRE
MERGE|Worker|ALTAHRN01|5501114|1979/09/01|4712/12/31|5501114|1979/09/01|1957/03/27|HIRE
MERGE|Worker|ALTAHRN01|5501185|2013/10/01|4712/12/31|5501185|2013/10/01|1959/11/03|HIRE
MERGE|Worker|ALTAHRN01|5501189|1998/05/11|4712/12/31|5501189|1998/05/11|1955/10/24|HIRE
MERGE|Worker|ALTAHRN01|5501251|1996/02/01|4712/12/31|5501251|1996/02/01|1951/03/05|HIRE
