METADATA|PersonCitizenship|SourceSystemOwner|SourceSystemId|PersonId(SourceSystemId)|DateFrom|DateTo|LegislationCode|CitizenshipStatus
MERGE|PersonCitizenship|ALTAHRN01|5500901_CITIZEN|5500901|1977/07/01|4712/12/31|GB|A
MERGE|PersonCitizenship|ALTAHRN01|5500917_CITIZEN|5500917|1981/01/28|4712/12/31|GB|A
MERGE|PersonCitizenship|ALTAHRN01|5500925_CITIZEN|5500925|1962/08/27|4712/12/31|GB|A
MERGE|PersonCitizenship|ALTAHRN01|5500939_CITIZEN|5500939|1967/10/26|4712/12/31|GB|A
MERGE|PersonCitizenship|ALTAHRN01|5500992_CITIZEN|5500992|1957/05/12|4712/12/31|GB|A
MERGE|PersonCitizenship|ALTAHRN01|5501022_CITIZEN|5501022|1956/07/05|4712/12/31|GB|A
MERGE|PersonCitizenship|ALTAHRN01|5501082_CITIZEN|5501082|1958/12/14|4712/12/31|GB|A
MERGE|PersonCitizenship|ALTAHRN01|5501084_CITIZEN|5501084|1958/03/01|4712/12/31|GB|A
MERGE|PersonCitizenship|ALTAHRN01|5501109_CITIZEN|5501109|1963/10/17|4712/12/31|GB|A
MERGE|PersonCitizenship|ALTAHRN01|5501114_CITIZEN|5501114|1957/03/27|4712/12/31|GB|A
MERGE|PersonCitizenship|ALTAHRN01|5501185_CITIZEN|5501185|1959/11/03|4712/12/31|GB|A
MERGE|PersonCitizenship|ALTAHRN01|5501189_CITIZEN|5501189|1955/10/24|4712/12/31|GB|A
MERGE|PersonCitizenship|ALTAHRN01|5501251_CITIZEN|5501251|1951/03/05|4712/12/31|GB|A
MERGE|PersonCitizenship|ALTAHRN01|5501266_CITIZEN|5501266|1958/03/07|4712/12/31|GB|A
MERGE|PersonCitizenship|ALTAHRN01|5501316_CITIZEN|5501316|1963/05/09|4712/12/31|GB|A
MERGE|PersonCitizenship|ALTAHRN01|5501377_CITIZEN|5501377|1967/02/22|4712/12/31|GB|A
MERGE|PersonCitizenship|ALTAHRN01|5501400_CITIZEN|5501400|1954/01/15|4712/12/31|GB|A
MERGE|PersonCitizenship|ALTAHRN01|5501403_CITIZEN|5501403|1972/07/08|4712/12/31|GB|A
MERGE|PersonCitizenship|ALTAHRN01|5501425_CITIZEN|5501425|1956/06/02|4712/12/31|GB|A
MERGE|PersonCitizenship|ALTAHRN01|5501749_CITIZEN|5501749|1957/04/29|4712/12/31|GB|A
MERGE|PersonCitizenship|ALTAHRN01|5501776_CITIZEN|5501776|1957/01/22|4712/12/31|GB|A
MERGE|PersonCitizenship|ALTAHRN01|5501782_CITIZEN|5501782|1957/04/08|4712/12/31|GB|A
MERGE|PersonCitizenship|ALTAHRN01|5501808_CITIZEN|5501808|1953/10/24|4712/12/31|GB|A
MERGE|PersonCitizenship|ALTAHRN01|5501930_CITIZEN|5501930|1956/07/05|4712/12/31|GB|A
MERGE|PersonCitizenship|ALTAHRN01|5501943_CITIZEN|5501943|1968/09/18|4712/12/31|GB|A
MERGE|PersonCitizenship|ALTAHRN01|5501963_CITIZEN|5501963|1960/12/07|4712/12/31|GB|A
MERGE|PersonCitizenship|ALTAHRN01|5501992_CITIZEN|5501992|1966/02/05|4712/12/31|GB|A
MERGE|PersonCitizenship|ALTAHRN01|5502074_CITIZEN|5502074|1957/01/09|4712/12/31|GB|A
MERGE|PersonCitizenship|ALTAHRN01|5502141_CITIZEN|5502141|1963/03/17|4712/12/31|GB|A
MERGE|PersonCitizenship|ALTAHRN01|5502144_CITIZEN|5502144|1953/03/05|4712/12/31|GB|A
MERGE|PersonCitizenship|ALTAHRN01|5502236_CITIZEN|5502236|1943/07/10|4712/12/31|GB|A
MERGE|PersonCitizenship|ALTAHRN01|5502509_CITIZEN|5502509|1977/03/28|4712/12/31|GB|A
MERGE|PersonCitizenship|ALTAHRN01|5502555_CITIZEN|5502555|1955/09/09|4712/12/31|GB|A
MERGE|PersonCitizenship|ALTAHRN01|5502562_CITIZEN|5502562|1963/01/29|4712/12/31|GB|A
MERGE|PersonCitizenship|ALTAHRN01|5502574_CITIZEN|5502574|1969/08/04|4712/12/31|GB|A
MERGE|PersonCitizenship|ALTAHRN01|5502724_CITIZEN|5502724|1970/08/30|4712/12/31|GB|A
MERGE|PersonCitizenship|ALTAHRN01|5502749_CITIZEN|5502749|1968/02/22|4712/12/31|GB|A
MERGE|PersonCitizenship|ALTAHRN01|5502781_CITIZEN|5502781|1954/05/19|4712/12/31|GB|A
MERGE|PersonCitizenship|ALTAHRN01|5502811_CITIZEN|5502811|1970/05/07|4712/12/31|GB|A
MERGE|PersonCitizenship|ALTAHRN01|5502857_CITIZEN|5502857|1968/09/23|4712/12/31|GB|A
MERGE|PersonCitizenship|ALTAHRN01|5502865_CITIZEN|5502865|1962/03/09|4712/12/31|GB|A
MERGE|PersonCitizenship|ALTAHRN01|5502892_CITIZEN|5502892|1951/03/05|4712/12/31|GB|A
MERGE|PersonCitizenship|ALTAHRN01|5503111_CITIZEN|5503111|1950/11/20|4712/12/31|GB|A
MERGE|PersonCitizenship|ALTAHRN01|5503138_CITIZEN|5503138|1957/02/04|4712/12/31|GB|A
MERGE|PersonCitizenship|ALTAHRN01|5503145_CITIZEN|5503145|1957/07/02|4712/12/31|GB|A
MERGE|PersonCitizenship|ALTAHRN01|5503164_CITIZEN|5503164|1977/09/20|4712/12/31|GB|A
MERGE|PersonCitizenship|ALTAHRN01|5503214_CITIZEN|5503214|1965/09/05|4712/12/31|GB|A
MERGE|PersonCitizenship|ALTAHRN01|5503243_CITIZEN|5503243|1973/05/27|4712/12/31|GB|A
MERGE|PersonCitizenship|ALTAHRN01|5503265_CITIZEN|5503265|1955/10/24|4712/12/31|GB|A
MERGE|PersonCitizenship|ALTAHRN01|5503274_CITIZEN|5503274|1955/12/07|4712/12/31|GB|A
MERGE|PersonCitizenship|ALTAHRN01|5503305_CITIZEN|5503305|1959/04/01|4712/12/31|GB|A
MERGE|PersonCitizenship|ALTAHRN01|5503311_CITIZEN|5503311|1959/12/10|4712/12/31|GB|A
MERGE|PersonCitizenship|ALTAHRN01|5503325_CITIZEN|5503325|1963/01/29|4712/12/31|GB|A
MERGE|PersonCitizenship|ALTAHRN01|5503340_CITIZEN|5503340|1954/05/22|4712/12/31|GB|A
MERGE|PersonCitizenship|ALTAHRN01|5503407_CITIZEN|5503407|1958/03/10|4712/12/31|GB|A
MERGE|PersonCitizenship|ALTAHRN01|5503433_CITIZEN|5503433|1966/11/07|4712/12/31|GB|A
MERGE|PersonCitizenship|ALTAHRN01|5503435_CITIZEN|5503435|1952/10/03|4712/12/31|GB|A
MERGE|PersonCitizenship|ALTAHRN01|5503446_CITIZEN|5503446|1949/06/24|4712/12/31|GB|A
MERGE|PersonCitizenship|ALTAHRN01|5503447_CITIZEN|5503447|1970/02/19|4712/12/31|GB|A
MERGE|PersonCitizenship|ALTAHRN01|5503466_CITIZEN|5503466|1964/08/17|4712/12/31|GB|A
MERGE|PersonCitizenship|ALTAHRN01|5503472_CITIZEN|5503472|1966/11/07|4712/12/31|GB|A
MERGE|PersonCitizenship|ALTAHRN01|5503497_CITIZEN|5503497|1971/12/29|4712/12/31|GB|A
MERGE|PersonCitizenship|ALTAHRN01|5503500_CITIZEN|5503500|1960/04/20|4712/12/31|GB|A
MERGE|PersonCitizenship|ALTAHRN01|5503504_CITIZEN|5503504|1952/10/25|4712/12/31|GB|A
MERGE|PersonCitizenship|ALTAHRN01|5503535_CITIZEN|5503535|1969/10/13|4712/12/31|GB|A
MERGE|PersonCitizenship|ALTAHRN01|5503544_CITIZEN|5503544|1963/10/17|4712/12/31|GB|A
MERGE|PersonCitizenship|ALTAHRN01|5503567_CITIZEN|5503567|1968/02/22|4712/12/31|GB|A
MERGE|PersonCitizenship|ALTAHRN01|5503575_CITIZEN|5503575|1964/04/06|4712/12/31|GB|A
MERGE|PersonCitizenship|ALTAHRN01|5503609_CITIZEN|5503609|1966/11/07|4712/12/31|GB|A
MERGE|PersonCitizenship|ALTAHRN01|5503611_CITIZEN|5503611|1959/06/28|4712/12/31|GB|A
MERGE|PersonCitizenship|ALTAHRN01|5503612_CITIZEN|5503612|1955/10/27|4712/12/31|GB|A
MERGE|PersonCitizenship|ALTAHRN01|5503613_CITIZEN|5503613|1957/06/03|4712/12/31|GB|A
MERGE|PersonCitizenship|ALTAHRN01|5503622_CITIZEN|5503622|1975/10/13|4712/12/31|GB|A
MERGE|PersonCitizenship|ALTAHRN01|5503629_CITIZEN|5503629|1953/04/19|4712/12/31|GB|A
MERGE|PersonCitizenship|ALTAHRN01|5503638_CITIZEN|5503638|1962/02/20|4712/12/31|GB|A
MERGE|PersonCitizenship|ALTAHRN01|5503640_CITIZEN|5503640|1969/02/10|4712/12/31|GB|A
MERGE|PersonCitizenship|ALTAHRN01|5503681_CITIZEN|5503681|1959/08/14|4712/12/31|GB|A
MERGE|PersonCitizenship|ALTAHRN01|5503716_CITIZEN|5503716|1970/02/17|4712/12/31|GB|A
MERGE|PersonCitizenship|ALTAHRN01|5503723_CITIZEN|5503723|1959/03/18|4712/12/31|GB|A
MERGE|PersonCitizenship|ALTAHRN01|5503727_CITIZEN|5503727|1953/07/15|4712/12/31|GB|A
MERGE|PersonCitizenship|ALTAHRN01|5503736_CITIZEN|5503736|1957/02/26|4712/12/31|GB|A
MERGE|PersonCitizenship|ALTAHRN01|5503738_CITIZEN|5503738|1957/01/09|4712/12/31|GB|A
MERGE|PersonCitizenship|ALTAHRN01|5503756_CITIZEN|5503756|1966/02/14|4712/12/31|GB|A
MERGE|PersonCitizenship|ALTAHRN01|5503776_CITIZEN|5503776|1977/03/28|4712/12/31|GB|A
MERGE|PersonCitizenship|ALTAHRN01|5503842_CITIZEN|5503842|1978/04/07|4712/12/31|GB|A
MERGE|PersonCitizenship|ALTAHRN01|5503858_CITIZEN|5503858|1956/04/27|4712/12/31|GB|A
MERGE|PersonCitizenship|ALTAHRN01|5503871_CITIZEN|5503871|1953/01/25|4712/12/31|GB|A
MERGE|PersonCitizenship|ALTAHRN01|5503878_CITIZEN|5503878|1959/03/18|4712/12/31|GB|A
MERGE|PersonCitizenship|ALTAHRN01|5503882_CITIZEN|5503882|1962/01/26|4712/12/31|GB|A
MERGE|PersonCitizenship|ALTAHRN01|5503887_CITIZEN|5503887|1967/10/26|4712/12/31|GB|A
MERGE|PersonCitizenship|ALTAHRN01|5503910_CITIZEN|5503910|1952/10/02|4712/12/31|GB|A
MERGE|PersonCitizenship|ALTAHRN01|5503977_CITIZEN|5503977|1973/03/24|4712/12/31|GB|A
MERGE|PersonCitizenship|ALTAHRN01|5503987_CITIZEN|5503987|1966/06/17|4712/12/31|GB|A
MERGE|PersonCitizenship|ALTAHRN01|5504375_CITIZEN|5504375|1947/09/04|4712/12/31|GB|A
MERGE|PersonCitizenship|ALTAHRN01|5504575_CITIZEN|5504575|1960/02/23|4712/12/31|GB|A
MERGE|PersonCitizenship|ALTAHRN01|5504677_CITIZEN|5504677|1956/07/05|4712/12/31|GB|A
MERGE|PersonCitizenship|ALTAHRN01|5504708_CITIZEN|5504708|1962/12/04|4712/12/31|GB|A
MERGE|PersonCitizenship|ALTAHRN01|5504779_CITIZEN|5504779|1974/09/09|4712/12/31|GB|A
MERGE|PersonCitizenship|ALTAHRN01|5504841_CITIZEN|5504841|1959/04/19|4712/12/31|GB|A
MERGE|PersonCitizenship|ALTAHRN01|5504863_CITIZEN|5504863|1953/07/15|4712/12/31|GB|A
MERGE|PersonCitizenship|ALTAHRN01|5504909_CITIZEN|5504909|1956/04/27|4712/12/31|GB|A
MERGE|PersonCitizenship|ALTAHRN01|5504957_CITIZEN|5504957|1952/01/13|4712/12/31|GB|A
MERGE|PersonCitizenship|ALTAHRN01|5504983_CITIZEN|5504983|1970/05/01|4712/12/31|GB|A
MERGE|PersonCitizenship|ALTAHRN01|5505017_CITIZEN|5505017|1957/12/18|4712/12/31|GB|A
MERGE|PersonCitizenship|ALTAHRN01|5505034_CITIZEN|5505034|1962/06/14|4712/12/31|GB|A
MERGE|PersonCitizenship|ALTAHRN01|5505040_CITIZEN|5505040|1958/08/16|4712/12/31|GB|A
MERGE|PersonCitizenship|ALTAHRN01|5505072_CITIZEN|5505072|1958/10/23|4712/12/31|GB|A
MERGE|PersonCitizenship|ALTAHRN01|5505079_CITIZEN|5505079|1958/08/20|4712/12/31|GB|A
MERGE|PersonCitizenship|ALTAHRN01|5505095_CITIZEN|5505095|1952/10/21|4712/12/31|GB|A
MERGE|PersonCitizenship|ALTAHRN01|5505145_CITIZEN|5505145|1964/01/22|4712/12/31|GB|A
MERGE|PersonCitizenship|ALTAHRN01|5505315_CITIZEN|5505315|1973/12/12|4712/12/31|GB|A
MERGE|PersonCitizenship|ALTAHRN01|5505415_CITIZEN|5505415|1969/04/22|4712/12/31|GB|A
MERGE|PersonCitizenship|ALTAHRN01|5505447_CITIZEN|5505447|1977/03/28|4712/12/31|GB|A
MERGE|PersonCitizenship|ALTAHRN01|5505513_CITIZEN|5505513|1966/04/05|4712/12/31|GB|A
MERGE|PersonCitizenship|ALTAHRN01|5505524_CITIZEN|5505524|1959/02/14|4712/12/31|GB|A
MERGE|PersonCitizenship|ALTAHRN01|5505532_CITIZEN|5505532|1974/09/09|4712/12/31|GB|A
MERGE|PersonCitizenship|ALTAHRN01|5505533_CITIZEN|5505533|1970/02/17|4712/12/31|GB|A
MERGE|PersonCitizenship|ALTAHRN01|5505724_CITIZEN|5505724|1963/11/01|4712/12/31|GB|A
MERGE|PersonCitizenship|ALTAHRN01|5505760_CITIZEN|5505760|1977/02/24|4712/12/31|GB|A
MERGE|PersonCitizenship|ALTAHRN01|5505819_CITIZEN|5505819|1957/05/12|4712/12/31|GB|A
MERGE|PersonCitizenship|ALTAHRN01|5505921_CITIZEN|5505921|1974/05/19|4712/12/31|GB|A
MERGE|PersonCitizenship|ALTAHRN01|5506001_CITIZEN|5506001|1963/06/19|4712/12/31|GB|A
MERGE|PersonCitizenship|ALTAHRN01|5506039_CITIZEN|5506039|1960/04/20|4712/12/31|GB|A
MERGE|PersonCitizenship|ALTAHRN01|5506147_CITIZEN|5506147|1967/04/08|4712/12/31|GB|A
MERGE|PersonCitizenship|ALTAHRN01|5506182_CITIZEN|5506182|1953/07/15|4712/12/31|GB|A
MERGE|PersonCitizenship|ALTAHRN01|5506188_CITIZEN|5506188|1953/08/16|4712/12/31|GB|A
MERGE|PersonCitizenship|ALTAHRN01|5506216_CITIZEN|5506216|1952/02/16|4712/12/31|GB|A
MERGE|PersonCitizenship|ALTAHRN01|5506264_CITIZEN|5506264|1969/08/04|4712/12/31|GB|A
MERGE|PersonCitizenship|ALTAHRN01|5506270_CITIZEN|5506270|1957/12/09|4712/12/31|GB|A
MERGE|PersonCitizenship|ALTAHRN01|5506272_CITIZEN|5506272|1959/03/18|4712/12/31|GB|A
MERGE|PersonCitizenship|ALTAHRN01|5506353_CITIZEN|5506353|1961/12/17|4712/12/31|GB|A
MERGE|PersonCitizenship|ALTAHRN01|5506377_CITIZEN|5506377|1946/02/02|4712/12/31|GB|A
MERGE|PersonCitizenship|ALTAHRN01|5506378_CITIZEN|5506378|1962/08/27|4712/12/31|GB|A
MERGE|PersonCitizenship|ALTAHRN01|5506379_CITIZEN|5506379|1959/07/26|4712/12/31|GB|A
MERGE|PersonCitizenship|ALTAHRN01|5506515_CITIZEN|5506515|1954/11/12|4712/12/31|GB|A
MERGE|PersonCitizenship|ALTAHRN01|5506536_CITIZEN|5506536|1958/05/15|4712/12/31|GB|A
MERGE|PersonCitizenship|ALTAHRN01|5506678_CITIZEN|5506678|1967/01/10|4712/12/31|GB|A
MERGE|PersonCitizenship|ALTAHRN01|5506717_CITIZEN|5506717|1960/02/16|4712/12/31|GB|A
